Title,Ease_Score,Download_Count,Index
Return to Pleasure Island,82.7,114,17027
"Lost Mine Trail, Big Bend National Park, Texas",64.5,48,59740
"Trial of C. B. Reynolds For Blasphemy, at Morristown, N. J., May 1887: Defence",77.3,107,38103
Five Plays,85.2,107,41311
Fairy Prince and Other Stories,88.2,224,26399
To Be Read at Dusk,81,367,924
"The Bible, King James version, Book 10: 2 Samuel",79.5,50,8010
"Memoirs of the Reign of King George the Third, Volume 4 (of 4)",61.5,68,58499
Sword of Fire,85.7,39,64771
The Woman Who Did,78.9,141,4396
"Mother Bunch's Closet Newly Broke Open, and the History of Mother Bunch of the West",76.4,54,61057
The Doctor : A Tale of the Rockies,83.6,268,3242
"Oriental Religions and Christianity
A Course of Lectures Delivered on the Ely Foundation Before the
Students of Union Theological Seminary, New York, 1891",54,69,14867
"The Babbington case; Or, Nick Carter's strange quest",78.7,85,69263
The Social Secretary,81.5,60,55719
The Proud Prince,80.7,74,25785
A Commentary,75.4,72,68242
Great Violinists and Pianists,56.6,86,17463
Bear Brownie: The Life of a Bear,78.9,33,31414
Smugglers' Reef: A Rick Brant Science-Adventure Story,85.6,115,28849
"The Lost Tribes of the Irish in the South
An Address at the Annual Dinner of the American Irish Historical Society, January 6, 1917",57.3,36,58771
"The Irish Guards in the Great War, Volume 1 (of 2) : $b The First Battalion",64.1,91,64638
"A History of Troop A Cavalry, Connecticut National Guard and Its Service in the Great War as Co. D, 102d Machine Gun Battalion",65,53,55978
"The Girl's Own Paper, Vol. XX, No. 1022, July 29, 1899",78.1,43,62089
"Jack Mason, the Old Sailor",99,77,11105
"The Abbatial Crosier; or, Bonaik and Septimine. A Tale of a Medieval Abbess",80,78,33274
"In Quest of Gold; Or, Under the Whanga Falls",82.1,42,42829
Partakers of plenty : $b A study of the first Thanksgiving,65.5,116,72628
"Notes on Diseases of Cattle: Cause, Symptoms and Treatment",61,65,59232
"A Disquisition on the Evils of Using Tobacco
and the Necessity of Immediate and Entire Reformation",56.4,73,24366
"The Pig: Breeding, Rearing, and Marketing",61.2,99,33074
